,composer,piece,score,n_measures,time_signature,time_signature_beat,track_names
0,mozart,mo1,./dataset/scores/mozart/k504-1.musicxml,433,1:433=4,1:433=4:4,bassoon1;bassoon2;doublebass;flute;horn1;horn2;oboe1;oboe2;piccolotrumpet1;piccolotrumpet2;timpani;viola;violin1;violin2;violoncello
1,mozart,mo2,./dataset/scores/mozart/k543-1.musicxml,145,1:145=3,1:145=3:4,bassoon1;bassoon2;doublebass;flute;horn3;horn4;oboe1;oboe2;viola;violin1;violin2;violoncello
2,mozart,mo3,./dataset/scores/mozart/k550-1.musicxml,174,1:174=3,1:174=3:4,bassoon1;bassoon2;doublebass;flute;horn1;horn2;oboe1;oboe2;piccolotrumpet1;piccolotrumpet2;timpani;viola;violin1;violin2;violoncello
3,mozart,mo4,./dataset/scores/mozart/k551-1.musicxml,779,1:779=2,1:779=2:2,bassoon1;bassoon2;doublebass;flute;horn1;horn2;oboe1;oboe2;piccolotrumpet1;piccolotrumpet2;timpani;viola;violin1;violin2;violoncello
4,beethoven,be1,./dataset/scores/haydn/hob099-1.musicxml,547,1:547=2,1:547=2:4,bassoon1;bassoon2;clarinet1;clarinet2;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trumpet1;trumpet2;viola;violin1;violin2;violoncello
5,beethoven,be2,./dataset/scores/haydn/hob100-1.musicxml,1414,"1:794=3,795:990=2,991:1401=3,1402:1414=4","1:794=3:4,795:990=2:2,991:1401=3:4,1402:1414=4:4",bassoon1;bassoon2;clarinet1;clarinet2;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trombone1;trombone2;trombone3;trumpet1;trumpet2;viola;violin1;violin2;violoncello
6,beethoven,be3,./dataset/scores/haydn/hob101-1.musicxml,157,"1:24=4,25:42=3,43:64=4,65:82=3,83:98=4,99:157=4","1:24=4:4,25:42=3:4,43:64=4:4,65:82=3:4,83:98=4:4,99:157=12:8",bassoon1;bassoon2;clarinet1;clarinet2;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trumpet1;trumpet2;viola;violin1;violin2;violoncello
7,beethoven,be4,./dataset/scores/haydn/hob103-1.musicxml,946,"0:29=3,30:37=2,38:62=3,63:64=4,65:76=3,77:80=4,81:91=3,92:207=4,208:236=3,237:330=4,331:593=2,594:653=3,654:762=6,763:842=2,843:850=2,851:915=2,916:919=3,920:946=2","0:29=3:4,30:37=2:4,38:62=3:4,63:64=4:4,65:76=3:4,77:80=4:4,81:91=3:4,92:207=4:4,208:236=3:4,237:330=4:4,331:593=6:8,594:653=3:2,654:762=6:4,763:842=2:2,843:850=2:2,851:915=2:2,916:919=3:4,920:946=2:2",altochoir;altosolo;baritonesolo;basschoir;bassdrum;bassoon1;bassoon2;basstrombone;clarinet1;clarinet2;contrabassoon;cymbal;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;piccolo;sopranochoir;sopranosolo;tenorchoir;tenorsolo;timpani;triangle;trombone1;trombone2;trumpet1;trumpet2;viola;violin1;violin2;violoncello
8,dvorak,dv1,./dataset/scores/haydn/hob104-1.musicxml,605,"1:23=4,24:605=2","1:23=4:8,24:605=2:4",bassoon1;bassoon2;clarinet1;clarinet2;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trombone1;trombone2;trombone3;trumpet1;trumpet2;viola;violin1;violin2;violoncello
9,dvorak,dv2,./dataset/scores/beethoven/beethoven_op21-1.musicxml,127,"1:33=4,34:34=2,35:127=4","1:33=4:4,34:34=2:4,35:127=4:4",bassoon1;bassoon2;clarinet1;clarinet2;doublebass;englishhorn;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trombone1;trombone2;trombone3;trumpet1;trumpet2;tuba;viola;violin1;violin2;violoncello
10,dvorak,dv3,./dataset/scores/beethoven/beethoven_op36-1.musicxml,562,1:562=3,1:562=3:4,bassoon1;bassoon2;clarinet1;clarinet2;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;triangle;trumpet1;trumpet2;viola;violin1;violin2;violoncello
11,dvorak,dv4,./dataset/scores/beethoven/beethoven_op55-1.musicxml,348,1:348=4,1:348=4:4,bassoon1;bassoon2;clarinet1;clarinet2;cymbal;doublebass;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trombone1;trombone2;trombone3;trumpet1;trumpet2;viola;violin1;violin2;violoncello
12,tchaikovsky,tc1,./dataset/scores/beethoven/beethoven_op60-1.musicxml,354,"1:29=4,30:30=2,31:354=4","1:29=4:4,30:30=2:4,31:354=4:4",bassoon1;bassoon2;basstrombone;clarinet1;clarinet2;doublebass1;doublebass2;flute1;flute2;flute3;horn1;horn2;horn3;horn4;oboe1;oboe2;piccolo;timpani;trombone1;trombone2;trumpet1;trumpet2;tuba;viola1;viola2;violin1;violin2;violoncello1;violoncello2
13,tchaikovsky,tc2,./dataset/scores/beethoven/beethoven_op67-1.musicxml,210,1:210=5,1:210=5:4,bassoon1;bassoon2;basstrombone;clarinet1;clarinet2;doublebass;flute1;flute2;flute3;horn1;horn2;horn3;horn4;oboe1;oboe2;timpani;trombone1;trombone2;trumpet1;trumpet2;tuba;viola;violin1;violin2;violoncello
14,tchaikovsky,tc3,./dataset/scores/beethoven/beethoven_op68-1.musicxml,352,1:352=4,1:352=4:4,bassdrum;bassoon1;bassoon2;basstrombone;clarinet1;clarinet2;cymbal;doublebass1;doublebass2;flute1;flute2;horn1;horn2;horn3;horn4;oboe1;oboe2;piccolo;timpani;trombone1;trombone2;trumpet1;trumpet2;tuba;viola1;viola2;violin1-1;violin1-2;violin2-1;violin2-2;violoncello1;violoncello2
15,tchaikovsky,tc4,./dataset/scores/beethoven/beethoven_op92-1.musicxml,171,1:171=3,1:171=3:4,bassoon1;bassoon2;basstrombone;clarinet1;clarinet2;doublebass1;doublebass2;flute1;flute2;flute3;horn1;horn2;horn3;horn4;oboe1;oboe2;tamtam;timpani;trombone1;trombone2;trumpet1;trumpet2;tuba;viola1;viola2;violin1;violin2;violoncello1;violoncello2
